species,Latitude,Longitude
Salix caprea,50.591259,29.957508
Salix triandra,50.554013,30.209955
Salix caprea,50.606867,29.935849
Salix caprea,50.55342,30.209869
Salix cinerea,51.25154,30.123556
Salix acutifolia,50.607637,29.936482
Salix acutifolia,51.138625,30.391501
Salix caprea,50.60384,29.946532
Salix caprea,50.682165,29.735805
Salix caprea,50.690841,29.70197
Salix alba,51.279998,30.233181
Salix cinerea,50.692303,29.724174
Salix cinerea,50.690406,29.694021
Salix cinerea,50.691216,29.707741
Salix alba,50.178823,30.166347
Salix triandra,50.178823,30.172527
Salix caprea,50.695543,29.641952
Salix triandra,50.179262,30.171154
Salix rosmarinifolia,51.234419,29.833889
Salix multinervis,51.218673,29.764369
Salix caprea,50.305421,30.295251
Salix multinervis,50.984907,29.713118
Salix cinerea,50.98709,29.70905
Salix cinerea,50.984809,29.714097
Salix alba,50.992304,29.753642
Salix caprea,50.926467,29.73747
Salix cinerea,50.310857,30.294771
Salix cinerea,51.236319,29.819508
Salix pentandra,50.580475,30.988391
Salix rosmarinifolia,50.342357,31.354291
Salix rosmarinifolia,50.603837,31.004634
Salix rosmarinifolia,50.591764,30.987507
Salix caprea,50.602271,31.001104
Salix viminalis,50.052941,31.258777
Salix rosmarinifolia,50.595172,30.995353
Salix cinerea,50.594822,30.995458
Salix cinerea,50.310656,30.29191
Salix multinervis,51.199903,30.37813
Salix alba,50.544292,30.213963
Salix cinerea,50.588118,30.994104
Salix cinerea,50.545937,30.338237
Salix alba,50.683962,29.653221
Salix triandra,50.54626,30.336538
Salix cinerea,50.159086,31.623988
Salix rosmarinifolia,50.230425,30.668546
Salix cinerea,50.217175,30.794357
Salix alba,50.216749,30.794994
Salix caprea,50.427049,30.127854
Salix cinerea,50.428761,30.131929
Salix caprea,50.428807,30.136768
Salix cinerea,50.428702,30.131692
Salix triandra,50.31035,30.33639
Salix cinerea,50.087834,29.919004
Salix cinerea,50.103641,29.935393
Salix cinerea,50.100029,29.928039
Salix acutifolia,50.530741,30.531608
Salix cinerea,50.350379,30.477172
Salix caprea,50.959812,29.782232
Salix cinerea,50.086599,29.90762
Salix triandra,50.086337,29.90794
Salix cinerea,50.318822,29.937535
Salix caprea,50.54915,30.20579
Salix caprea,50.345762,30.461384
Salix cinerea,50.336147,30.428007
Salix triandra,50.238178,30.236115
Salix cinerea,50.165516,31.009925
Salix alba,50.16592,31.00945
Salix caprea,50.169283,31.009756
Salix viminalis,50.14602,30.568584
Salix myrsinifolia,50.618968,29.900514
Salix acutifolia,50.625649,29.905135
Salix cinerea,50.622943,29.90057
Salix cinerea,50.20791,31.558285
Salix caprea,50.044983,31.216591
Salix caprea,50.294657,30.349627
Salix triandra,50.350418,30.454829
Salix cinerea,50.063225,31.471521
Salix cinerea,50.075709,31.469958
Salix cinerea,51.251438,30.123125
Salix fragilis,50.327907,30.486223
Salix fragilis,50.35508,30.17476
Salix cinerea,50.571731,30.088902
Salix rosmarinifolia,50.599545,31.005786
Salix caprea,50.303722,30.226162
Salix rosmarinifolia,50.580327,29.940057
Salix cinerea,50.299994,30.225373
Salix aurita,50.288016,30.332545
Salix caprea,50.594383,29.987242
Salix rosmarinifolia,50.553716,29.940958
Salix fragilis,50.548301,30.260654
Salix cinerea,51.225095,29.760497
